gen;wins;draws;losts;raw score;shared score
1;18;0;157;54;0,236963
2;29;0;146;87;0,343415
3;54;11;110;173;0,656187
4;31;0;144;93;0,359356
5;52;1;122;157;0,737186
9;48;22;105;166;0,633788
10;56;2;117;170;0,870071
11;61;0;114;183;1,08436
15;45;3;127;138;0,898001
16;77;2;96;233;1,26947
20;64;0;111;192;1,10953
21;77;0;98;231;1,2658
22;15;0;160;45;0,133106
23;59;0;116;177;1,02222
24;18;0;157;54;0,157684
25;66;0;109;198;1,12323
27;19;0;156;57;0,164054
28;84;0;91;252;1,31934
30;73;0;102;219;0,828787
31;19;0;156;57;0,16376
32;22;0;153;66;0,186914
33;89;2;84;269;1,37745
34;67;2;106;203;0,947024
35;14;0;161;42;0,116494
36;89;2;84;269;1,36823
37;58;0;117;174;0,649773
38;79;2;94;239;1,1232
39;25;2;148;77;0,221208
40;74;0;101;222;0,992262
41;74;1;100;223;0,942334
42;80;0;95;240;1,08687
43;76;2;97;230;1,04356
44;32;1;142;97;0,298176
45;13;0;162;39;0,0929416
46;41;2;132;125;0,424495
48;77;1;97;232;0,829615
50;68;0;107;204;0,729393
51;58;1;116;175;0,579785
52;49;0;126;147;0,486671
53;81;1;93;244;0,982597
54;96;0;79;288;1,14192
55;101;0;74;303;1,51402
56;65;3;107;198;0,680638
57;72;0;103;216;0,771299
58;40;0;135;120;0,349924
59;53;1;121;160;0,517518
60;72;0;103;216;0,77787
61;43;0;132;129;0,375305
62;109;0;66;327;1,567
63;71;2;102;215;0,730108
64;73;2;100;221;0,755372
65;73;1;101;220;0,758705
66;65;1;109;196;0,658662
68;50;0;125;150;0,44755
69;50;0;125;150;0,444911
70;80;0;95;240;0,945106
72;75;1;99;226;0,769869
74;88;0;87;264;1,17344
75;66;1;108;199;0,662873
76;65;13;97;208;0,77278
77;46;1;128;139;0,42211
78;75;1;99;226;0,776052
79;66;0;109;198;0,638734
80;59;0;116;177;0,531689
81;75;2;98;227;0,764549
82;62;0;113;186;0,561152
83;71;1;103;214;0,699117
85;64;0;111;192;0,579711
86;63;0;112;189;0,567555
87;78;1;96;235;0,829854
88;81;4;90;247;0,836625
90;84;5;86;257;0,877057
91;89;2;84;269;0,956651
92;76;2;97;230;0,765674
93;59;0;116;177;0,573673
94;81;0;94;243;0,996501
95;74;0;101;222;0,782398
96;57;0;118;171;0,517326
97;70;0;105;210;0,639429
98;79;6;90;243;0,793393
99;52;0;123;156;0,452968
100;80;2;93;242;0,866918
101;84;1;90;253;0,816396
102;65;0;110;195;0,603197
103;75;0;100;225;0,68778
104;84;2;89;254;0,84827
106;88;1;86;265;0,888292
107;88;1;86;265;0,890347
108;90;3;82;273;0,924658
109;86;2;87;260;0,880009
110;71;0;104;213;0,723909
111;83;0;92;249;0,882403
112;85;0;90;255;0,833138
113;89;1;85;268;0,883862
114;85;0;90;255;0,798979
115;83;0;92;249;0,884959
116;101;2;72;305;1,28622
117;93;4;78;283;0,954512
118;80;0;95;240;0,860216
119;90;1;84;271;0,897842
120;84;0;91;252;0,894103
121;80;0;95;240;0,856622
122;95;0;80;285;0,962335
123;97;1;77;292;0,987554
124;89;0;86;267;0,858428
125;87;0;88;261;0,84321
127;92;1;82;277;0,919106
128;99;3;73;300;1,01775
129;104;9;62;321;1,09088
130;108;0;67;324;1,1395
133;90;0;85;270;0,978786
134;96;3;76;291;0,971974
135;100;1;74;301;1,02138
137;90;0;85;270;0,984397
138;88;0;87;264;0,974609
139;97;11;67;302;1,0327
141;87;3;85;264;0,901354
142;95;0;80;285;0,948482
143;109;1;65;328;1,14454
144;91;17;67;290;0,993585
145;118;0;57;354;1,64389
146;103;0;72;309;1,05305
147;92;0;83;276;1,02481
148;100;1;74;301;1,01304
149;96;1;78;289;0,975604
150;94;17;64;299;1,03713
151;105;1;69;316;1,08114
152;106;0;69;318;1,08909
153;105;0;70;315;1,09047
154;109;4;62;331;1,14896
155;119;1;55;358;1,27744
156;110;0;65;330;1,14495
157;105;0;70;315;1,1938
158;104;2;69;314;1,31691
159;118;0;57;354;1,31671
160;114;0;61;342;1,21792
161;101;0;74;303;1,15901
162;101;0;74;303;1,04797
163;100;0;75;300;1,10579
164;121;0;54;363;1,31879
165;124;0;51;372;1,3996
166;122;0;53;366;1,32967
167;121;0;54;363;1,32915
168;129;0;46;387;1,48086
169;130;0;45;390;1,46398
170;125;1;49;376;1,41281
171;121;0;54;363;1,36881
172;127;1;47;382;1,43967
173;126;1;48;379;1,44175
174;131;0;44;393;1,51769
175;135;0;40;405;1,62259
176;135;0;40;405;1,58511
177;131;0;44;393;1,54003
178;114;0;61;342;1,44239
179;141;0;34;423;1,73155
180;111;0;64;333;1,37364
181;115;0;60;345;1,46407
182;134;0;41;402;1,62141
183;111;0;64;333;1,47125
184;155;1;19;466;1,83249
185;139;0;36;417;1,74863
186;139;0;36;417;1,74629
187;138;0;37;414;1,75479
188;99;0;76;297;1,14842
189;144;0;31;432;1,85218
190;143;1;31;430;1,8525
191;147;0;28;441;1,92952
192;144;0;31;432;1,89651
193;145;0;30;435;1,93628
194;110;0;65;330;1,45244
195;152;0;23;456;2,03943
196;152;0;23;456;2,07203
197;151;0;24;453;2,10162
198;106;0;69;318;1,3132
199;126;0;49;378;1,84678
200;123;0;52;369;1,80989
