gen;wins;draws;losts;raw score;shared score
1;67;0;108;201;0,779055
2;87;0;88;261;1,01387
3;102;5;68;311;1,2092
4;74;0;101;222;0,86411
5;80;1;94;241;0,899711
9;63;42;70;231;0,905974
10;91;0;84;273;1,03461
11;81;0;94;243;0,985815
15;49;1;125;148;0,592955
16;78;12;85;246;0,967
20;85;0;90;255;1,02424
21;87;0;88;261;1,04155
22;82;0;93;246;0,954672
23;65;1;109;196;0,789248
24;86;0;89;258;0,998893
25;72;0;103;216;0,823921
27;87;0;88;261;1,01727
28;93;1;81;280;1,09918
30;106;0;69;318;1,23017
31;92;1;82;277;1,08823
32;92;0;83;276;1,07308
33;93;0;82;279;1,06611
34;71;0;104;213;0,790571
35;81;1;93;244;0,955841
36;93;1;81;280;1,07229
37;93;0;82;279;1,07789
38;76;2;97;230;0,877045
39;63;2;110;191;0,707703
40;99;0;76;297;1,17116
41;90;0;85;270;1,04802
42;75;0;100;225;0,842887
43;87;0;88;261;1,00252
44;57;1;117;172;0,639153
45;64;0;111;192;0,746359
46;74;4;97;226;0,875419
48;104;0;71;312;1,1971
50;88;1;86;265;1,00916
51;83;1;91;250;0,942378
52;71;0;104;213;0,823928
53;106;2;67;320;1,27399
54;100;0;75;300;1,12916
55;95;0;80;285;1,13345
56;90;5;80;275;1,0436
57;98;0;77;294;1,12879
58;79;0;96;237;0,916892
59;85;0;90;255;0,948039
60;101;1;73;304;1,18437
61;88;0;87;264;1,01655
62;105;0;70;315;1,22927
63;93;1;81;280;1,04445
64;86;2;87;260;0,967232
65;97;1;77;292;1,09062
66;85;1;89;256;0,951471
68;82;1;92;247;0,960915
69;62;0;113;186;0,728628
70;101;5;69;308;1,18809
72;89;3;83;270;1,00197
74;85;0;90;255;0,955783
75;79;1;95;238;0,876582
76;83;6;86;255;1,00797
77;49;1;125;148;0,520656
78;95;1;79;286;1,07151
79;96;0;79;288;1,10172
80;73;1;101;220;0,846473
81;93;3;79;282;1,03652
82;84;0;91;252;0,972719
83;88;2;85;266;0,983575
85;76;0;99;228;0,892072
86;72;0;103;216;0,839373
87;92;2;81;278;1,06114
88;88;1;86;265;0,988934
90;90;2;83;272;1,01695
91;94;1;80;283;1,10982
92;74;2;99;224;0,831143
93;69;2;104;209;0,758543
94;85;0;90;255;1,01678
95;90;1;84;271;1,04481
96;85;1;89;256;0,969733
97;76;0;99;228;0,886028
98;91;8;76;281;1,05906
99;63;0;112;189;0,725047
100;76;1;98;229;0,834692
101;84;1;90;253;0,965809
102;88;1;86;265;1,03429
103;77;0;98;231;0,90869
104;82;0;93;246;0,915222
106;93;2;80;281;1,04826
107;90;0;85;270;1,01491
108;86;0;89;258;0,955255
109;86;3;86;261;0,96759
110;73;1;101;220;0,853022
111;101;0;74;303;1,17004
112;94;0;81;282;1,05491
113;82;0;93;246;0,918713
114;90;0;85;270;1,06054
115;98;0;77;294;1,13938
116;82;2;91;248;0,935779
117;83;2;90;251;0,936566
118;83;0;92;249;0,955566
119;79;1;95;238;0,891252
120;94;0;81;282;1,0941
121;99;0;76;297;1,13888
122;91;0;84;273;1,015
123;92;1;82;277;1,01862
124;72;1;102;217;0,85011
125;68;0;107;204;0,81747
127;81;1;93;244;0,906466
128;94;2;79;284;1,06924
129;99;8;68;305;1,14676
130;111;0;64;333;1,28859
133;91;0;84;273;1,04438
134;102;1;72;307;1,146
135;88;5;82;269;1,00955
137;93;0;82;279;1,07238
138;84;0;91;252;0,96113
139;90;9;76;279;1,05133
141;84;3;88;255;0,956154
142;87;1;87;262;0,958523
143;111;1;63;334;1,29385
144;91;14;70;287;1,08377
145;99;0;76;297;1,12782
146;94;4;77;286;1,06449
147;95;0;80;285;1,09774
148;80;0;95;240;0,92389
149;91;3;81;276;1,02193
150;92;11;72;287;1,09945
151;92;1;82;277;1,08387
152;64;0;111;192;0,767207
153;71;0;104;213;0,844127
154;91;4;80;277;1,04026
155;94;1;80;283;1,09501
156;90;3;82;273;1,01653
157;95;1;79;286;1,10778
158;85;1;89;256;0,968056
159;108;1;66;325;1,2636
160;83;0;92;249;0,963878
161;90;0;85;270;1,03656
162;85;0;90;255;0,945288
163;79;0;96;237;0,915086
164;100;1;74;301;1,16371
165;105;1;69;316;1,2298
166;75;1;99;226;0,892494
167;70;0;105;210;0,827695
168;103;0;72;309;1,21238
169;109;1;65;328;1,29246
170;77;0;98;231;0,919486
171;72;0;103;216;0,850252
172;80;0;95;240;0,93753
173;70;0;105;210;0,831924
174;107;0;68;321;1,24517
175;108;1;66;325;1,27137
176;104;0;71;312;1,22845
177;68;1;106;205;0,808751
178;81;0;94;243;0,935915
179;106;2;67;320;1,23714
180;98;1;76;295;1,14357
181;96;0;79;288;1,12082
182;80;0;95;240;0,939911
183;86;0;89;258;0,99603
184;100;2;73;302;1,12839
185;109;0;66;327;1,26276
186;82;0;93;246;0,959052
187;74;0;101;222;0,894494
188;55;1;119;166;0,60096
189;108;1;66;325;1,26418
190;89;0;86;267;1,04593
191;114;0;61;342;1,33801
192;79;1;95;238;0,918562
193;76;0;99;228;0,888286
194;94;0;81;282;1,08213
195;116;0;59;348;1,36865
196;101;1;73;304;1,18601
197;108;0;67;324;1,25184
198;99;0;76;297;1,15093
199;86;0;89;258;1,00086
200;75;0;100;225;0,857961
