gen;wins;draws;losts;raw score;shared score
1;122;0;53;366;1,61486
2;133;0;42;399;1,72924
3;150;0;25;450;1,94789
4;131;0;44;393;1,66927
5;103;1;71;310;1,29201
9;78;70;27;304;1,29306
10;106;0;69;318;1,37456
11;97;0;78;291;1,23558
15;68;0;107;204;0,830978
16;77;24;74;255;1,04981
20;93;0;82;279;1,19942
21;91;0;84;273;1,11983
22;143;0;32;429;1,79214
23;74;4;97;226;0,962876
24;140;0;35;420;1,74555
25;74;0;101;222;0,91319
27;139;0;36;417;1,71208
28;121;0;54;363;1,53607
30;138;1;36;415;1,71542
31;132;2;41;398;1,59345
32;136;1;38;409;1,62752
33;95;0;80;285;1,18684
34;75;0;100;225;0,883486
35;139;1;35;418;1,67206
36;93;0;82;279;1,15678
37;124;0;51;372;1,59682
38;76;0;99;228;0,991738
39;90;1;84;271;1,02006
40;112;0;63;336;1,37317
41;107;0;68;321;1,28223
42;86;0;89;258;1,01922
43;85;0;90;255;1,0087
44;79;1;95;238;0,862687
45;112;0;63;336;1,31546
46;105;6;64;321;1,23276
48;128;1;46;385;1,50329
50;124;1;50;373;1,44146
51;109;1;65;328;1,26337
52;96;2;77;290;1,06824
53;123;3;49;372;1,51328
54;102;1;72;307;1,26959
55;92;0;83;276;1,15646
56;125;13;37;388;1,489
57;118;0;57;354;1,44185
58;119;0;56;357;1,36011
59;104;1;70;313;1,16013
60;135;1;39;406;1,5421
61;117;0;58;351;1,31195
62;99;0;76;297;1,1869
63;106;1;68;319;1,18645
64;114;1;60;343;1,29584
65;110;2;63;332;1,23616
66;103;1;71;310;1,14904
68;109;1;65;328;1,20088
69;110;0;65;330;1,20247
70;100;1;74;301;1,19863
72;110;1;64;331;1,2375
74;82;0;93;246;0,992715
75;99;1;75;298;1,09118
76;105;3;67;318;1,17531
77;60;1;114;181;0,602416
78;112;1;62;337;1,25425
79;131;3;41;396;1,46996
80;99;0;76;297;1,04567
81;109;1;65;328;1,20686
82;97;1;77;292;1,03314
83;95;1;79;286;1,0212
85;96;0;79;288;1,01459
86;97;0;78;291;1,02577
87;105;0;70;315;1,22939
88;102;1;72;307;1,11157
90;104;1;70;313;1,15353
91;103;0;72;309;1,19672
92;89;1;85;268;0,961071
93;85;2;88;257;0,90391
94;86;0;89;258;0,996883
95;108;0;67;324;1,3662
96;101;1;73;304;1,2169
97;89;0;86;267;0,925401
98;94;12;69;294;1,04964
99;79;2;94;239;0,825931
100;74;0;101;222;0,877838
101;99;1;75;298;1,06527
102;94;1;80;283;1,11003
103;83;1;91;250;0,847481
104;90;1;84;271;0,972967
106;93;2;80;281;1,01096
107;94;1;80;283;1,0182
108;97;3;75;294;1,06134
109;97;2;76;293;1,05199
110;88;0;87;264;1,03196
111;105;0;70;315;1,31909
112;78;1;96;235;0,801659
113;82;2;91;248;0,884129
114;75;1;99;226;0,752579
115;103;1;71;310;1,29161
116;64;0;111;192;0,736263
117;92;2;81;278;1,00431
118;104;1;70;313;1,31376
119;81;1;93;244;0,873932
120;104;1;70;313;1,31729
121;104;1;70;313;1,31117
122;90;2;83;272;0,965635
123;82;2;91;248;0,864396
124;66;0;109;198;0,643223
125;66;1;108;199;0,645597
127;77;1;97;232;0,811933
128;85;1;89;256;0,908482
129;87;9;79;270;0,962331
130;110;1;64;331;1,20699
133;97;1;77;292;1,24266
134;82;1;92;247;0,863129
135;81;2;92;245;0,86074
137;95;1;79;286;1,2135
138;83;0;92;249;1,0007
139;88;7;80;271;1,02299
141;86;3;86;261;1,00213
142;70;2;103;212;0,701422
143;103;1;71;310;1,12506
144;94;6;75;288;1,10157
145;70;1;104;211;0,903229
146;80;2;93;242;0,84935
147;91;1;83;274;1,16502
148;50;0;125;150;0,455356
149;76;2;97;230;0,801393
150;91;6;78;279;1,06285
151;48;0;127;144;0,439771
152;47;1;127;142;0,431543
153;45;0;130;135;0,407081
154;82;5;88;251;0,905722
155;98;1;76;295;1,05966
156;74;4;97;226;0,809564
157;85;0;90;255;1,11993
158;53;0;122;159;0,617568
159;96;1;78;289;1,03624
160;45;1;129;136;0,437057
161;84;1;90;253;1,10637
162;62;3;110;189;0,652208
163;64;0;111;192;0,736684
164;93;1;81;280;1,00485
165;93;1;81;280;1,02352
166;34;1;140;103;0,300915
167;32;0;143;96;0,278024
168;90;1;84;271;0,993495
169;88;1;86;265;0,966409
170;29;0;146;87;0,247283
171;28;1;146;85;0,243357
172;27;0;148;81;0,234869
173;26;0;149;78;0,226965
174;83;1;91;250;0,934365
175;82;1;92;247;0,923496
176;81;1;93;244;0,924313
177;22;0;153;66;0,189011
178;60;0;115;180;0,777524
179;78;1;96;235;0,873401
180;68;1;106;205;0,790744
181;70;1;104;211;0,966591
182;17;0;158;51;0,143687
183;76;0;99;228;0,956698
184;46;2;127;140;0,495711
185;74;1;100;223;0,853943
186;13;1;161;40;0,109345
187;14;0;161;42;0,125531
188;10;1;164;31;0,095731
189;71;1;103;214;0,814644
190;11;0;164;33;0,103627
191;71;1;103;214;0,848783
192;16;1;158;49;0,185765
193;14;0;161;42;0,155709
194;76;0;99;228;0,982684
195;69;1;105;208;0,841766
196;67;1;107;202;0,80803
197;65;1;109;196;0,783399
198;74;0;101;222;0,958391
199;49;0;126;147;0,692498
200;49;0;126;147;0,687935
